stationid,stationname,masterid,latitude,longitude,huc,county,smcshed,taxon
408M03038,,408M03038,34.27491,-118.88512,408,Ventura,Calleguas,NA
408M03047,,408M03047,34.17338,-119.0517,408,Ventura,Calleguas,Gambusia affinis
408M03052,,408M03052,34.18063,-119.1039,408,Ventura,Calleguas,NA
412CE0232,Los Angeles River ~0.4mi above Hwy 101,412CE0232,34.15907,-118.45624,412,Los Angeles,Los Angeles,NA
412M08627,,412M08627,33.86326,-118.19655,412,Los Angeles,Los Angeles,NA
412M08630,,412M08630,34.05961,-118.08902,412,Los Angeles,Los Angeles,NA
412M08632,,412M08632,34.23834,-118.6077,412,Los Angeles,Los Angeles,NA
412M08638,,412M08638,34.20922,-118.17119,412,Los Angeles,Los Angeles,Other amphibian
412PS0052,Los Angeles River,412PS0052,34.1953,-118.58796,412,Los Angeles,Los Angeles,NA
412WE0552,Arroyo Seco Creek ~2.1 miles upstream from Gould Mesa Campgroud.,412WE0552,34.23908,-118.18059,412,Los Angeles,Los Angeles,NA
801M12652,,801M12652,33.71785,-117.997,801,Orange,Lower Santa Ana,Procambarus clarkii
906M23361,,906M23361,32.84373,-117.21115,906,San Diego,Mission Bay and San Diego River,Lithobates catesbeianus
906M23361,,906M23361,32.84373,-117.21115,906,San Diego,Mission Bay and San Diego River,Procambarus clarkii
906M23380,,906M23380,32.78855,-117.18675,906,San Diego,Mission Bay and San Diego River,Other amphibian
906M23380,,906M23380,32.78855,-117.18675,906,San Diego,Mission Bay and San Diego River,Other amphibian
906M23380,,906M23380,32.78855,-117.18675,906,San Diego,Mission Bay and San Diego River,Procambarus clarkii
906M23380,,906M23380,32.78855,-117.18675,906,San Diego,Mission Bay and San Diego River,Gambusia affinis
906M21774,,906M21774,32.93392,-117.05882,906,San Diego,Central San Diego,Lithobates catesbeianus
906M21774,,906M21774,32.93392,-117.05882,906,San Diego,Central San Diego,Procambarus clarkii
905PS0026,Santa Ysabel Creek,905PS0026,33.10697,-116.86545,905,San Diego,Central San Diego,Other amphibian
801MFC100,Metcalf Creek Random Olsen Site 100,801MFC100,34.22644,-116.93895,801,San Bernardino,Upper Santa Ana,NR
801WE1008,Barton Creek ~ 1.4 mi. NW of Barton Flats Campground,801WE1008,34.18128,-116.91197,801,San Bernardino,Upper Santa Ana,NR
801M15547,,801M15547,34.23493,-116.95849,801,San Bernardino,Upper Santa Ana,NR
